id,nome,email,data_nascimento
1,JOÃO,joao1@teste.com,15/05/2002
2,MARIA,maria2@teste.com,2000-02-31
3,Ana,ana3@teste.com,12-03-2003
4,CARLOS,email_invalido,22/11/2005
5,,aluno5@teste.com,05-07-2000
6,João,joao6@teste.com,10.10.2002
7,MARIA,maria7@teste.com,2003/12/25
8,ANA,ana8@teste.com,31/01/2004
9,CARLOS,,20-08-1998
10,JOÃO,joao10@teste.com,15.05.2001
11,MARIA,,2008-02-28
12,João,joao12@teste.com,10/12/2004
13,Ana,ana13@teste.com,2000-11-02
14,Carlos,carlos14@teste.com,2003/09/13
15,JOÃO,joao15@teste.com,10-10-1997
16,MARIA,,20-03-2000
17,,email_invalido,25.06.1999
18,ANA,ana18@teste.com,1996-04-12
19,CARLOS,carlos19@teste.com,05/01/1998
20,João,joao20@teste.com,2000-09-08
21,MARIA,maria21@teste.com,30-06-2000
22,Ana,ana22@teste.com,2004/11/21
23,CARLOS,carlos23@teste.com,25/12/2003
24,João,,22.11.2005
25,MARIA,maria25@teste.com,31/02/2000
26,ANA,ana26@teste.com,2002-05-15
27,Carlos,carlos27@teste.com,2000/07/13
